               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11595,            0.050457,            0.040019,             0.11241,             0.28187,              0.1248,            0.052616,            0.090174,            0.063675,            0.038328,            0.070103,           0.0033218,           0.0033218
                   1,            0.094783,            0.053651,            0.031311,             0.53615,             0.36426,             0.32177,             0.14399,            0.085959,            0.063056,            0.022597,            0.040038,           0.0065893,           0.0065893
                   2,            0.091864,            0.054016,            0.017883,              0.6031,             0.36676,             0.35371,             0.16174,             0.08454,            0.065406,            0.017031,           0.0099057,           0.0097907,           0.0097907
                   3,            0.084624,            0.053274,            0.014378,             0.84755,             0.42845,             0.48884,             0.25221,            0.076525,            0.061847,            0.014089,            0.009703,            0.009703,            0.009703
                   4,            0.079371,            0.052034,            0.012843,             0.85687,             0.45925,             0.52688,             0.28822,            0.073193,            0.062229,            0.013444,            0.009703,            0.009703,            0.009703
                   5,            0.076312,            0.051695,            0.011907,             0.87305,               0.472,             0.55073,             0.30927,            0.070509,            0.059255,            0.012337,            0.009604,            0.009604,            0.009604
                   6,            0.073972,            0.050465,             0.01114,             0.86189,             0.49658,             0.57822,             0.32703,            0.068891,            0.058665,            0.011636,            0.009505,            0.009505,            0.009505
                   7,            0.072505,            0.049591,             0.01041,             0.87466,             0.51734,             0.59225,             0.34515,            0.067287,            0.057873,            0.011154,            0.009406,            0.009406,            0.009406
                   8,            0.070801,            0.049942,           0.0099411,             0.76511,             0.57522,             0.63189,             0.37467,            0.066022,            0.057514,            0.010589,            0.009307,            0.009307,            0.009307
                   9,            0.069979,            0.049132,           0.0097536,             0.75752,             0.58244,             0.63856,             0.37398,             0.06602,            0.057742,            0.010681,            0.009208,            0.009208,            0.009208
                  10,            0.068991,             0.04878,           0.0094582,             0.79069,             0.59287,              0.6467,             0.38796,            0.065269,            0.056692,           0.0099731,            0.009109,            0.009109,            0.009109
                  11,            0.068194,            0.048668,           0.0092605,             0.78363,             0.59191,             0.64734,             0.38894,            0.064679,            0.056261,           0.0098951,             0.00901,             0.00901,             0.00901
                  12,            0.067425,            0.047782,           0.0089778,             0.78136,             0.60149,             0.65628,             0.39636,            0.064044,            0.056036,           0.0097952,            0.008911,            0.008911,            0.008911
                  13,             0.06701,            0.047888,           0.0089639,             0.77498,             0.60234,             0.65672,             0.39982,            0.063887,            0.056081,           0.0097929,            0.008812,            0.008812,            0.008812
