               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11012,            0.050436,             0.03826,             0.86198,             0.15241,             0.20404,            0.092922,            0.087357,            0.067076,            0.029254,            0.070048,            0.003328,            0.003328
                   1,            0.091298,            0.053812,             0.01945,             0.64927,             0.35298,             0.37512,             0.18575,            0.082329,            0.068041,            0.016851,            0.039982,           0.0065954,           0.0065954
                   2,            0.086405,            0.053336,            0.014572,             0.83923,              0.4102,             0.47519,             0.25555,            0.075886,            0.066212,            0.013941,           0.0098503,           0.0097967,           0.0097967
                   3,            0.080142,            0.052504,             0.01212,             0.69848,             0.49122,             0.53305,             0.29419,            0.072595,            0.065059,            0.011871,            0.009703,            0.009703,            0.009703
                   4,            0.075396,            0.051303,            0.010501,             0.75516,             0.53474,             0.57705,             0.32384,            0.071087,            0.064171,            0.010675,            0.009703,            0.009703,            0.009703
                   5,            0.072168,            0.049832,           0.0096103,             0.75737,             0.54374,             0.58553,             0.32872,            0.070477,             0.06468,            0.010107,            0.009604,            0.009604,            0.009604
                   6,            0.070735,            0.049309,           0.0091878,             0.76565,              0.5624,             0.60476,             0.34851,            0.068588,            0.064119,           0.0097546,            0.009505,            0.009505,            0.009505
                   7,            0.069183,            0.048746,            0.008866,             0.77789,             0.56346,             0.61128,             0.34615,            0.068273,            0.063513,           0.0095834,            0.009406,            0.009406,            0.009406
                   8,             0.06847,             0.04851,            0.008648,             0.76216,             0.57544,             0.61235,             0.34974,            0.067997,             0.06381,           0.0093895,            0.009307,            0.009307,            0.009307
                   9,            0.067528,            0.047894,           0.0084511,             0.79024,             0.57951,             0.62183,             0.35705,             0.06787,            0.063926,           0.0092348,            0.009208,            0.009208,            0.009208
                  10,            0.066889,            0.047429,           0.0083453,             0.78451,             0.58132,             0.62663,             0.36439,            0.066988,            0.063108,           0.0090381,            0.009109,            0.009109,            0.009109
                  11,            0.066044,            0.047053,           0.0081708,             0.80171,             0.58409,              0.6352,             0.37103,             0.06649,            0.063373,           0.0090313,             0.00901,             0.00901,             0.00901
                  12,            0.065471,             0.04667,           0.0081399,              0.8131,             0.58631,             0.64176,             0.37538,            0.066046,            0.063006,           0.0088217,            0.008911,            0.008911,            0.008911
                  13,            0.064796,            0.046305,           0.0080173,              0.8176,             0.58741,             0.64525,             0.37819,            0.065948,             0.06344,           0.0088778,            0.008812,            0.008812,            0.008812
                  14,             0.06418,            0.045578,           0.0078953,             0.79567,             0.60087,             0.64749,             0.38492,            0.065435,            0.062796,           0.0087833,            0.008713,            0.008713,            0.008713
                  15,            0.064009,            0.045531,           0.0078397,              0.8123,             0.59691,             0.64993,             0.38775,            0.065201,            0.062761,           0.0086912,            0.008614,            0.008614,            0.008614
