               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056498,            0.038485,           0.0063168,             0.85999,             0.64794,             0.72465,              0.4795,            0.059923,            0.055514,           0.0080946,            0.070103,           0.0033218,           0.0033218
                   1,            0.059422,            0.040259,           0.0065138,             0.85453,             0.64817,             0.71833,             0.45672,            0.061189,            0.055403,           0.0081572,            0.040038,           0.0065893,           0.0065893
                   2,            0.062616,            0.043658,           0.0068728,             0.83644,             0.63941,             0.70239,             0.42396,             0.06339,            0.057657,           0.0088568,           0.0099057,           0.0097907,           0.0097907
                   3,            0.062783,            0.044941,           0.0073013,             0.82248,             0.63477,             0.69279,             0.42935,            0.062541,            0.056777,           0.0088367,            0.009703,            0.009703,            0.009703
                   4,            0.062057,            0.044368,           0.0074725,             0.82779,             0.64063,             0.69974,             0.44122,            0.061438,            0.056552,           0.0088265,            0.009703,            0.009703,            0.009703
                   5,            0.061498,            0.044178,           0.0073985,             0.81398,              0.6513,             0.70782,               0.446,            0.060824,            0.055694,           0.0083952,            0.009604,            0.009604,            0.009604
                   6,            0.060673,            0.043287,           0.0072655,             0.83161,             0.64582,             0.71259,             0.44852,             0.06056,            0.054883,           0.0085761,            0.009505,            0.009505,            0.009505
                   7,             0.06057,             0.04298,           0.0071767,             0.81048,             0.65306,             0.71067,             0.44739,            0.060366,            0.054621,           0.0084481,            0.009406,            0.009406,            0.009406
                   8,            0.060099,              0.0435,           0.0071452,             0.81999,             0.64391,             0.71078,             0.45011,            0.060241,            0.054951,           0.0083845,            0.009307,            0.009307,            0.009307
                   9,             0.06016,            0.043012,           0.0072599,             0.82235,             0.65722,             0.72115,             0.45405,            0.060366,            0.055024,           0.0085411,            0.009208,            0.009208,            0.009208
                  10,            0.059882,            0.042939,           0.0071754,             0.84455,             0.64882,             0.71171,             0.45213,            0.060049,            0.054019,           0.0083977,            0.009109,            0.009109,            0.009109
                  11,            0.059847,            0.043052,           0.0071978,             0.84228,             0.65071,             0.71603,             0.45428,            0.059771,            0.054244,           0.0083392,             0.00901,             0.00901,             0.00901
                  12,            0.059575,            0.042457,           0.0070757,             0.83145,             0.65821,                0.72,             0.45524,            0.059954,            0.053809,           0.0082819,            0.008911,            0.008911,            0.008911
                  13,            0.059631,            0.042667,           0.0071366,             0.84513,             0.63191,             0.70956,             0.45435,             0.05965,            0.054297,           0.0083592,            0.008812,            0.008812,            0.008812
                  14,            0.059216,            0.042127,           0.0070806,             0.85107,             0.64719,             0.71882,              0.4611,            0.059531,            0.053753,           0.0083971,            0.008713,            0.008713,            0.008713
                  15,            0.059412,             0.04218,           0.0070884,             0.81945,             0.65663,             0.71499,             0.45379,            0.059845,            0.054393,           0.0082639,            0.008614,            0.008614,            0.008614
                  16,            0.058811,            0.042035,           0.0070326,             0.81544,             0.64795,             0.71154,             0.45706,             0.05963,            0.054621,           0.0083021,            0.008515,            0.008515,            0.008515
                  17,            0.058783,            0.042068,           0.0069713,             0.84645,             0.65176,             0.71567,             0.46205,            0.059349,            0.053846,           0.0082826,            0.008416,            0.008416,            0.008416
                  18,            0.058595,            0.041579,           0.0069982,             0.81936,             0.66608,             0.71679,             0.45951,            0.059552,            0.054496,           0.0082424,            0.008317,            0.008317,            0.008317
                  19,            0.058924,            0.041901,           0.0069917,             0.83271,             0.66263,             0.71884,             0.46195,            0.059534,            0.053663,           0.0081126,            0.008218,            0.008218,            0.008218
                  20,            0.058322,            0.041777,           0.0069644,             0.84956,             0.67046,             0.72992,             0.46774,            0.059254,            0.053829,           0.0081237,            0.008119,            0.008119,            0.008119
                  21,            0.058519,             0.04171,           0.0069686,             0.83733,             0.64544,             0.71677,             0.45997,            0.059506,            0.054733,             0.00818,             0.00802,             0.00802,             0.00802
                  22,            0.058077,            0.041297,           0.0068927,             0.83815,              0.6507,             0.71929,             0.46357,            0.059318,            0.053782,           0.0083424,            0.007921,            0.007921,            0.007921
                  23,            0.058539,            0.041684,           0.0069312,             0.84218,             0.65515,             0.72342,             0.46831,            0.059216,            0.053721,           0.0081968,            0.007822,            0.007822,            0.007822
                  24,            0.058386,            0.041599,           0.0069176,             0.82331,             0.65842,             0.72026,             0.46718,            0.059173,            0.053339,           0.0082148,            0.007723,            0.007723,            0.007723
                  25,            0.057962,            0.040843,           0.0068417,             0.80628,             0.63886,             0.70873,             0.46016,            0.059201,            0.054649,           0.0081938,            0.007624,            0.007624,            0.007624
                  26,             0.05805,            0.041103,           0.0068556,             0.84297,             0.64575,             0.71987,             0.46601,            0.059079,            0.054259,           0.0082216,            0.007525,            0.007525,            0.007525
                  27,            0.058228,            0.041081,           0.0069558,             0.86284,             0.65265,             0.72877,             0.47135,            0.059242,            0.053743,           0.0081904,            0.007426,            0.007426,            0.007426
                  28,            0.057734,            0.040963,            0.006847,             0.82944,              0.6622,             0.72096,             0.46917,             0.05896,            0.053015,           0.0082178,            0.007327,            0.007327,            0.007327
                  29,            0.057815,            0.041175,           0.0068478,             0.83488,             0.66355,              0.7288,             0.47186,            0.058929,            0.053212,           0.0080709,            0.007228,            0.007228,            0.007228
                  30,            0.057751,            0.040695,           0.0068484,             0.82068,             0.65487,             0.71618,             0.46272,            0.058913,            0.054024,           0.0081536,            0.007129,            0.007129,            0.007129
                  31,            0.057554,            0.040773,           0.0068241,             0.84954,             0.65157,             0.72904,              0.4738,            0.058773,            0.053068,           0.0080524,             0.00703,             0.00703,             0.00703
                  32,            0.057541,             0.04053,           0.0067863,             0.82616,             0.64482,             0.71421,             0.46451,            0.058702,            0.053328,           0.0081446,            0.006931,            0.006931,            0.006931
                  33,            0.057437,            0.040472,           0.0067635,              0.8488,             0.66084,             0.73272,             0.47494,             0.05858,            0.053339,            0.008012,            0.006832,            0.006832,            0.006832
                  34,            0.057265,            0.040636,           0.0067613,             0.84684,             0.65466,             0.72359,             0.46947,            0.058721,            0.053571,           0.0080109,            0.006733,            0.006733,            0.006733
                  35,            0.057507,            0.041025,           0.0068437,             0.85889,             0.65474,             0.73318,             0.47824,            0.058621,            0.053215,            0.008012,            0.006634,            0.006634,            0.006634
                  36,            0.057593,            0.041099,           0.0068378,             0.83064,             0.65689,             0.72196,             0.47175,            0.058672,            0.054089,           0.0080852,            0.006535,            0.006535,            0.006535
                  37,            0.057262,            0.040208,           0.0067166,             0.85299,             0.65784,             0.72676,             0.47254,            0.058585,            0.053472,            0.008072,            0.006436,            0.006436,            0.006436
                  38,            0.057129,            0.040375,            0.006661,             0.86115,             0.66439,             0.73584,             0.47965,            0.058579,            0.053323,           0.0080155,            0.006337,            0.006337,            0.006337
                  39,            0.057121,            0.040221,           0.0067219,             0.82948,             0.66765,             0.73419,             0.47766,             0.05845,            0.053291,           0.0079732,            0.006238,            0.006238,            0.006238
                  40,            0.057129,            0.040485,           0.0067586,             0.84293,             0.65095,             0.72427,             0.47408,            0.058526,            0.053669,            0.008074,            0.006139,            0.006139,            0.006139
                  41,            0.057077,            0.040809,           0.0067169,             0.84565,             0.66786,             0.73436,             0.47929,            0.058501,             0.05316,           0.0079443,             0.00604,             0.00604,             0.00604
                  42,            0.056669,             0.04025,           0.0066255,             0.84445,             0.65582,             0.72579,              0.4732,            0.058562,            0.053698,           0.0080559,            0.005941,            0.005941,            0.005941
                  43,            0.056846,            0.040212,           0.0066586,             0.84693,             0.65509,             0.72513,             0.47444,            0.058413,            0.053637,           0.0079394,            0.005842,            0.005842,            0.005842
                  44,            0.056733,            0.040288,           0.0065753,             0.84899,             0.65191,             0.72464,             0.47467,            0.058316,            0.053487,           0.0079584,            0.005743,            0.005743,            0.005743
                  45,            0.056737,            0.039992,           0.0065953,             0.84389,             0.66581,             0.72904,             0.47764,             0.05834,            0.053343,           0.0079824,            0.005644,            0.005644,            0.005644
                  46,            0.056408,            0.039781,           0.0065953,             0.84497,              0.6497,             0.72396,             0.47338,             0.05841,            0.053895,           0.0079939,            0.005545,            0.005545,            0.005545
                  47,            0.056519,            0.039855,           0.0066758,               0.853,             0.66289,             0.73505,             0.48012,            0.058315,            0.053143,           0.0079624,            0.005446,            0.005446,            0.005446
                  48,            0.056324,            0.039534,           0.0066051,             0.86193,             0.65145,             0.73167,             0.48046,            0.058244,            0.053579,           0.0079551,            0.005347,            0.005347,            0.005347
                  49,            0.056665,            0.039941,           0.0065999,             0.85291,             0.65187,             0.72842,             0.47833,            0.058249,            0.053441,           0.0080209,            0.005248,            0.005248,            0.005248
                  50,            0.056354,            0.039129,           0.0066298,             0.85817,             0.65417,             0.72805,             0.47733,            0.058303,            0.053571,           0.0080794,            0.005149,            0.005149,            0.005149
                  51,            0.056262,            0.039407,           0.0066504,             0.86825,             0.65752,             0.73431,             0.48093,            0.058197,            0.053452,            0.007984,             0.00505,             0.00505,             0.00505
                  52,            0.056053,            0.039026,           0.0065802,             0.86143,             0.65084,             0.72789,             0.47833,            0.058261,            0.053559,           0.0080029,            0.004951,            0.004951,            0.004951
                  53,             0.05602,            0.039149,           0.0065152,             0.86341,             0.65874,             0.73293,             0.48225,            0.058185,            0.053595,             0.00795,            0.004852,            0.004852,            0.004852
                  54,            0.056031,            0.039636,           0.0066093,              0.8716,             0.66116,             0.73815,              0.4846,             0.05813,            0.053021,           0.0079405,            0.004753,            0.004753,            0.004753
                  55,            0.056051,            0.039333,           0.0065975,               0.869,              0.6647,             0.74016,             0.48642,              0.0581,            0.052883,           0.0078825,            0.004654,            0.004654,            0.004654
                  56,            0.056127,            0.039182,           0.0065546,             0.86492,             0.65611,             0.73408,             0.48364,            0.058138,            0.053199,            0.008002,            0.004555,            0.004555,            0.004555
                  57,            0.055881,            0.039044,           0.0064872,              0.8599,              0.6607,             0.73526,             0.48308,            0.058138,            0.053353,           0.0079821,            0.004456,            0.004456,            0.004456
                  58,            0.055664,              0.0388,           0.0064931,             0.85966,             0.65832,             0.73375,             0.48222,            0.058174,            0.053265,           0.0079919,            0.004357,            0.004357,            0.004357
                  59,            0.055518,            0.038891,           0.0064979,             0.86376,             0.65498,              0.7307,             0.48182,            0.058112,            0.053469,           0.0079534,            0.004258,            0.004258,            0.004258
                  60,            0.055725,            0.038982,           0.0065004,              0.8575,             0.66149,             0.73138,             0.48082,            0.058049,            0.053281,           0.0080145,            0.004159,            0.004159,            0.004159
                  61,            0.055596,            0.038669,           0.0064191,             0.85559,             0.65868,             0.73013,             0.47967,            0.058036,            0.053413,           0.0080023,             0.00406,             0.00406,             0.00406
                  62,            0.055443,             0.03826,           0.0064319,             0.86889,              0.6674,             0.74024,             0.48508,            0.058048,            0.053095,           0.0079676,            0.003961,            0.003961,            0.003961
                  63,            0.055323,            0.038509,           0.0064662,             0.85491,             0.66807,             0.73592,             0.48402,            0.057987,            0.053239,           0.0079834,            0.003862,            0.003862,            0.003862
                  64,            0.055394,            0.038529,           0.0064023,             0.86394,             0.65924,             0.73387,             0.48486,            0.057987,              0.0534,           0.0079765,            0.003763,            0.003763,            0.003763
                  65,            0.055175,            0.038204,           0.0063368,              0.8621,             0.66046,             0.73228,             0.48405,            0.057996,            0.053284,           0.0080052,            0.003664,            0.003664,            0.003664
                  66,             0.05526,            0.038398,           0.0064254,              0.8667,             0.65672,             0.73415,             0.48379,               0.058,            0.053459,           0.0079656,            0.003565,            0.003565,            0.003565
                  67,             0.05527,            0.038321,           0.0063926,             0.86959,             0.65687,              0.7331,             0.48485,            0.057987,            0.053359,           0.0079774,            0.003466,            0.003466,            0.003466
                  68,            0.055259,            0.038361,           0.0063327,             0.86636,             0.66013,             0.73387,             0.48555,            0.057976,            0.053486,            0.007997,            0.003367,            0.003367,            0.003367
                  69,            0.055069,            0.037885,           0.0063866,             0.86503,             0.66549,              0.7371,             0.48801,            0.057956,            0.053376,           0.0079408,            0.003268,            0.003268,            0.003268
                  70,            0.055033,            0.038229,           0.0063684,             0.87281,             0.66459,             0.73929,             0.48828,            0.057937,            0.053424,           0.0078988,            0.003169,            0.003169,            0.003169
                  71,             0.05527,            0.038225,           0.0064327,             0.86364,             0.66804,             0.73847,             0.48822,            0.057928,            0.053463,           0.0078846,             0.00307,             0.00307,             0.00307
                  72,            0.055343,             0.03793,           0.0064148,             0.85425,              0.6666,             0.73554,             0.48728,            0.057958,            0.053636,           0.0079142,            0.002971,            0.002971,            0.002971
                  73,            0.054994,             0.03804,           0.0063242,             0.85651,             0.66493,             0.73346,              0.4862,            0.057964,            0.053687,           0.0079268,            0.002872,            0.002872,            0.002872
                  74,            0.054701,            0.037883,           0.0063466,             0.86059,             0.66378,             0.73339,             0.48628,            0.057956,            0.053731,           0.0078992,            0.002773,            0.002773,            0.002773
                  75,            0.054996,            0.037826,           0.0063753,             0.86169,              0.6645,             0.73525,              0.4875,             0.05792,            0.053702,           0.0078781,            0.002674,            0.002674,            0.002674
                  76,            0.054758,             0.03753,            0.006362,             0.86324,             0.66205,             0.73581,             0.48804,            0.057903,            0.053777,           0.0079059,            0.002575,            0.002575,            0.002575
                  77,            0.054863,            0.037718,           0.0062895,             0.86124,             0.66158,             0.73633,             0.48838,            0.057883,             0.05377,           0.0079215,            0.002476,            0.002476,            0.002476
                  78,            0.054762,            0.037497,           0.0063088,             0.85829,             0.65885,             0.73501,             0.48775,            0.057887,            0.053785,           0.0079441,            0.002377,            0.002377,            0.002377
                  79,            0.054672,            0.037369,           0.0063153,             0.86385,             0.65842,             0.73526,             0.48863,            0.057876,            0.053757,           0.0079447,            0.002278,            0.002278,            0.002278
                  80,            0.054844,            0.037759,           0.0063454,             0.86607,             0.65637,             0.73537,             0.48863,            0.057869,            0.053698,           0.0079663,            0.002179,            0.002179,            0.002179
                  81,            0.054733,            0.037106,           0.0062837,             0.86555,             0.66068,             0.73822,             0.48998,             0.05788,            0.053627,           0.0079726,             0.00208,             0.00208,             0.00208
                  82,            0.054584,            0.036927,           0.0063022,             0.87017,             0.65915,             0.73873,             0.49027,            0.057883,            0.053668,           0.0079798,            0.001981,            0.001981,            0.001981
                  83,            0.054462,            0.037489,           0.0061964,             0.87269,             0.65724,             0.73681,             0.48987,            0.057873,            0.053772,           0.0080023,            0.001882,            0.001882,            0.001882
                  84,            0.054382,            0.037364,           0.0062078,             0.87778,             0.65637,             0.73717,             0.49019,            0.057874,            0.053818,           0.0080094,            0.001783,            0.001783,            0.001783
