               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056836,            0.037845,           0.0060615,             0.84333,             0.61996,             0.68261,             0.41906,            0.063294,            0.066112,           0.0084038,            0.070048,            0.003328,            0.003328
                   1,            0.060291,            0.040635,           0.0063687,             0.82205,              0.6144,             0.66343,             0.39171,            0.066069,            0.065231,           0.0085221,            0.039982,           0.0065954,           0.0065954
                   2,            0.063221,            0.043761,           0.0067986,             0.78876,             0.62048,             0.66036,             0.39557,            0.064919,             0.06444,           0.0088437,           0.0098503,           0.0097967,           0.0097967
                   3,            0.063319,            0.045063,           0.0073619,             0.81707,             0.60756,             0.65516,             0.38455,            0.065506,            0.064196,           0.0087121,            0.009703,            0.009703,            0.009703
                   4,             0.06234,            0.044632,           0.0072506,             0.81238,             0.59961,             0.65007,             0.38347,            0.065926,            0.064576,           0.0087264,            0.009703,            0.009703,            0.009703
                   5,            0.061506,            0.043753,            0.007128,             0.80983,             0.60179,             0.65615,             0.39486,            0.064636,            0.064075,           0.0086127,            0.009604,            0.009604,            0.009604
                   6,            0.061594,            0.043692,           0.0071442,             0.82098,             0.60847,             0.66078,             0.39806,            0.064406,             0.06383,           0.0085113,            0.009505,            0.009505,            0.009505
                   7,            0.061053,            0.043452,           0.0070756,             0.81708,             0.60825,             0.66505,             0.40085,            0.064471,            0.064722,           0.0086277,            0.009406,            0.009406,            0.009406
                   8,            0.060812,            0.043251,             0.00704,             0.83052,             0.60757,             0.66568,              0.3989,            0.064364,            0.064159,           0.0086209,            0.009307,            0.009307,            0.009307
                   9,            0.060573,            0.043017,           0.0070043,             0.80766,             0.62116,             0.66889,             0.40158,            0.064453,              0.0641,           0.0085891,            0.009208,            0.009208,            0.009208
                  10,            0.060427,            0.042757,           0.0070085,             0.83207,             0.61342,             0.66988,             0.40049,            0.064287,            0.064061,           0.0083528,            0.009109,            0.009109,            0.009109
                  11,            0.060029,            0.042709,           0.0069091,               0.814,              0.6182,             0.66977,              0.4048,            0.064147,            0.064952,           0.0085796,             0.00901,             0.00901,             0.00901
                  12,            0.060072,            0.042562,           0.0069381,             0.82103,             0.61992,             0.67122,             0.40291,             0.06417,             0.06468,           0.0084598,            0.008911,            0.008911,            0.008911
                  13,            0.059838,            0.042426,           0.0069179,             0.83656,             0.61013,             0.67119,             0.40636,            0.064004,            0.063794,           0.0084045,            0.008812,            0.008812,            0.008812
                  14,            0.059549,            0.041893,           0.0068495,             0.83072,             0.60822,             0.67042,             0.40532,            0.063933,            0.064921,           0.0083402,            0.008713,            0.008713,            0.008713
                  15,            0.059632,            0.041979,            0.006837,             0.83523,             0.61331,             0.67572,             0.40932,            0.063688,              0.0639,           0.0083872,            0.008614,            0.008614,            0.008614
                  16,            0.059456,            0.042191,           0.0068234,             0.82952,             0.61464,             0.67361,             0.40679,            0.063797,            0.064271,           0.0084304,            0.008515,            0.008515,            0.008515
                  17,            0.059365,            0.041918,           0.0067729,             0.82433,             0.62099,              0.6747,             0.40836,            0.063774,            0.064382,           0.0083191,            0.008416,            0.008416,            0.008416
                  18,            0.059172,            0.041995,           0.0068161,             0.83045,             0.61605,             0.67444,             0.40941,            0.063715,             0.06414,            0.008294,            0.008317,            0.008317,            0.008317
                  19,            0.059324,            0.042072,           0.0068436,             0.83457,             0.61698,             0.67833,             0.41191,            0.063519,             0.06417,           0.0082304,            0.008218,            0.008218,            0.008218
                  20,            0.059022,            0.041826,           0.0067794,             0.82937,             0.62067,             0.67781,             0.41334,             0.06341,            0.064087,           0.0082711,            0.008119,            0.008119,            0.008119
                  21,            0.059106,            0.041873,           0.0067471,             0.83263,             0.62311,             0.67916,             0.41394,            0.063311,               0.064,           0.0081788,             0.00802,             0.00802,             0.00802
                  22,            0.058843,            0.041543,            0.006734,             0.82192,              0.6228,             0.67827,             0.41435,             0.06334,            0.064157,           0.0082639,            0.007921,            0.007921,            0.007921
                  23,            0.058999,            0.041433,           0.0067563,              0.8319,             0.61783,              0.6772,             0.41331,            0.063228,             0.06429,            0.008258,            0.007822,            0.007822,            0.007822
                  24,            0.058618,            0.041193,            0.006677,             0.83499,             0.62301,             0.68033,             0.41499,            0.063304,            0.064332,           0.0082581,            0.007723,            0.007723,            0.007723
                  25,            0.058662,            0.041228,           0.0066808,             0.83533,              0.6228,              0.6789,             0.41576,            0.063268,            0.064303,           0.0082499,            0.007624,            0.007624,            0.007624
                  26,            0.058811,            0.041539,              0.0067,             0.85105,             0.61915,             0.68197,             0.41625,            0.063212,            0.064162,           0.0082111,            0.007525,            0.007525,            0.007525
                  27,            0.058506,            0.040892,            0.006657,             0.83478,             0.62843,             0.68489,             0.41787,            0.063174,             0.06416,           0.0081757,            0.007426,            0.007426,            0.007426
                  28,            0.058603,            0.041369,           0.0066413,             0.83797,             0.62242,              0.6793,             0.41619,             0.06314,            0.064375,           0.0082397,            0.007327,            0.007327,            0.007327
                  29,            0.058354,            0.040796,           0.0066207,             0.83883,             0.62165,             0.67961,             0.41714,            0.063112,            0.064519,           0.0082381,            0.007228,            0.007228,            0.007228
